stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,trial.stopped,corrAns,tilt,key resp.corr,stair.response,key_resp.rt,grating.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
52,0.5,19.5,65.54748960002325,,65.53166570002213,65.54748960002325,66.03071199997794,66.03071199997794,66.04811700002756,66.58078880002722,right,19.5,0,0,0.5460636999923736,66.33136080001714,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
53,0.5,20.0,66.59719719999703,,66.58097990002716,66.59719719999703,67.08070910000242,67.08070910000242,67.09754709998379,67.6981365000247,left,-20.0,0,0,0.6142333999741822,67.38172130001476,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
54,0.5,20.0,67.71392840001499,,67.69846410001628,67.71392840001499,68.1975029000314,68.1975029000314,68.21465119998902,68.93085060000885,right,20.0,0,0,0.7249980999622494,68.49767830001656,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
55,0.5,20.0,68.94702339998912,,68.93105640000431,68.94702339998912,69.43028069997672,69.43028069997672,69.44692269997904,70.18025400000624,right,20.0,1,1,0.744349799992051,69.73011709999992,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
56,0.5,20.0,70.19658530002926,,70.18042920000153,70.19658530002926,70.67997719999403,70.67997719999403,70.69671960000414,71.71332370000891,left,-20.0,0,0,1.0291742000263184,70.98041239997838,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
57,0.5,20.0,71.73016139998799,,71.71350499999244,71.73016139998799,72.21381809999002,72.21381809999002,72.23003299999982,72.94747990003088,left,-20.0,0,0,0.7215395999955945,72.51367580000078,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
58,0.5,20.0,72.96291130001191,,72.94766120001441,72.96291130001191,73.4634742999915,73.4634742999915,73.4634742999915,74.2128720000037,right,20.0,0,0,0.7460156999877654,73.76330250001047,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
59,0.5,20.0,74.23122690001037,,74.21304920001421,74.23122690001037,74.71333629998844,74.71333629998844,74.74629340000683,76.52968450001208,left,-20.0,0,0,1.8041469999589026,75.01424140000017,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
60,0.5,20.0,76.54574309999589,,76.52989499998512,76.54574309999589,77.03001290000975,77.03001290000975,77.04599329998018,77.72998720000032,right,20.0,1,1,0.6983430999680422,77.3302555999835,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
61,0.5,20.0,77.74606079998193,,77.73019650002243,77.74606079998193,78.22962410002947,78.22962410002947,78.24629470001673,78.86261230002856,left,-20.0,1,1,0.6198320000548847,78.5293199000298,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
62,0.5,20.0,78.87890130002052,,78.86282719997689,78.87890130002052,79.3629832000006,79.3629832000006,79.37897289998364,80.346311900008,left,-20.0,1,1,0.9712477999855764,79.67948029999388,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
63,0.5,19.5,80.36337610002374,,80.34651659999508,80.36337610002374,80.84515060001286,80.84515060001286,80.87886920000892,81.54560770001262,right,19.5,1,1,0.6934384999913163,81.1447874000296,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
64,0.5,19.5,81.5615448000026,,81.54581530002179,81.5615448000026,82.04841759998817,82.04841759998817,82.06430929998169,83.08062989998143,right,19.5,1,1,1.0293232999974862,82.36157900001854,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
65,0.5,19.5,83.09664790000534,,83.08087290002732,83.09664790000534,83.59496120002586,83.59496120002586,83.61142989998916,84.19544149999274,left,-19.5,0,0,0.5834916000021622,83.89658410003176,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
66,0.5,20.0,84.21147959999507,,84.19565230002627,84.21147959999507,84.69472889997996,84.69472889997996,84.71187220001593,85.42839780001668,right,20.0,1,1,0.7243015999556519,84.99426529998891,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
67,0.5,20.0,85.44438280002214,,85.42864529998042,85.44438280002214,85.94414939999115,85.94414939999115,85.94414939999115,86.7949193000095,left,-20.0,0,0,0.8359900999930687,86.24422659998527,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
68,0.5,20.0,86.81104970001616,,86.79510629997822,86.81104970001616,87.29439029999776,87.29439029999776,87.3114267999772,87.92754740000237,left,-20.0,1,1,0.6298207000363618,87.59442089998629,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
69,0.5,20.0,87.94445770001039,,87.92776120000053,87.94445770001039,88.42734669998754,88.42734669998754,88.44380760000786,89.14469570002984,right,20.0,1,1,0.707556499983184,88.72716840001522,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
70,0.5,20.0,89.16214929998387,,89.14487190003274,89.16214929998387,89.66037559998222,89.66037559998222,89.67716170003405,90.3606504999916,right,20.0,1,1,0.6907635999959894,89.96106599998893,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
71,0.5,19.5,90.37684230000013,,90.36085950001143,90.37684230000013,90.86121760000242,90.86121760000242,90.8768705999828,91.51008009997895,right,19.5,1,1,0.6385155999450944,91.16037270001834,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
72,0.5,19.5,91.52759429998696,,91.51025290001417,91.52759429998696,92.01028470002348,92.01028470002348,92.02690310002072,92.66042209998704,left,-19.5,1,1,0.6427620999747887,92.30956120003248,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
73,0.5,19.5,92.67626520001795,,92.66062119998969,92.67626520001795,93.16074189997744,93.16074189997744,93.17709700000705,93.82662970002275,right,19.5,1,1,0.6551798000000417,93.47605050000129,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
74,0.5,19.0,93.84290410001995,,93.82682170002954,93.84290410001995,94.32634540001163,94.32634540001163,94.34352529997705,95.02642020001076,left,-19.0,0,0,0.6933770999894477,94.62623759999406,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
